,Building,Block,Zone,Comfort Temperature (Â°C),Steady-State Heat Loss (kW),Intermittent Heat Loss (kW),Design Capacity (kW),Design Capacity (W/m2),Glazing Gains (kW),Wall Gains (kW),Floor Gains (kW),Roof and Ceiling Gains (kW),Ventilation Gains (kW),Infiltration Gains (kW),Unnamed: 14,case
Building 1,Block 1,Dorm 9,18.0,0.46,0.0,0.57,53.055,-0.083,-0.168,0.003,-0.081,-0.04,-0.089,,,1
Building 1,Block 1,Dorm 10,18.0,0.41,0.0,0.51,46.9886,-0.084,-0.118,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 11,18.0,0.41,0.0,0.51,46.892,-0.084,-0.117,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 12,18.0,0.41,0.0,0.51,46.8903,-0.084,-0.117,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 13,18.0,0.41,0.0,0.51,46.892,-0.084,-0.117,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 14,18.0,0.41,0.0,0.51,46.9888,-0.084,-0.118,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 8,18.0,0.46,0.0,0.57,53.0667,-0.083,-0.168,0.003,-0.081,-0.04,-0.089,,,1
Building 1,Block 1,Dorm 2,18.0,0.46,0.0,0.57,53.055,-0.083,-0.168,0.003,-0.081,-0.04,-0.089,,,1
Building 1,Block 1,Dorm 3,18.0,0.41,0.0,0.51,46.9886,-0.084,-0.118,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 4,18.0,0.41,0.0,0.51,46.892,-0.084,-0.117,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 5,18.0,0.41,0.0,0.51,46.8903,-0.084,-0.117,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 6,18.0,0.41,0.0,0.51,46.892,-0.084,-0.117,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 7,18.0,0.41,0.0,0.51,46.9888,-0.084,-0.118,0.003,-0.081,-0.039,-0.089,,,1
Building 1,Block 1,Dorm 1,18.0,0.46,0.0,0.57,53.0667,-0.083,-0.168,0.003,-0.081,-0.04,-0.089,,,1
Building 1,Block 1,Corredor,12.88,0.0,0.0,0.0,0.0,0.0,0.763,0.071,-0.324,-0.126,-0.267,,,1
Building 1,Block 1,Dorm 9,18.0,0.57,0.0,0.71,65.9078,-0.027,-0.212,0.003,-0.081,-0.161,-0.089,,,2
Building 1,Block 1,Dorm 10,18.0,0.52,0.0,0.65,59.6622,-0.027,-0.162,0.003,-0.081,-0.161,-0.089,,,2
Building 1,Block 1,Dorm 11,18.0,0.52,0.0,0.65,59.5611,-0.027,-0.162,0.003,-0.081,-0.161,-0.089,,,2
Building 1,Block 1,Dorm 12,18.0,0.52,0.0,0.65,59.5593,-0.027,-0.162,0.003,-0.081,-0.161,-0.089,,,2
Building 1,Block 1,Dorm 13,18.0,0.52,0.0,0.65,59.5611,-0.027,-0.162,0.003,-0.081,-0.161,-0.089,,,2
Building 1,Block 1,Dorm 14,18.0,0.52,0.0,0.65,59.6624,-0.027,-0.162,0.003,-0.081,-0.161,-0.089,,,2
Building 1,Block 1,Dorm 8,18.0,0.57,0.0,0.71,65.9198,-0.027,-0.212,0.003,-0.081,-0.161,-0.089,,,2
Building 1,Block 1,Dorm 2,18.0,0.57,0.0,0.71,65.9078,-0.027,-0.212,0.003,-0.081,-0.161,-0.089,,,2
Building 1,Block 1,Dorm 3,18.0,0.52,0.0,0.65,59.6622,-0.027,-0.162,0.003,-0.081,-0.161,-0.089,,,2
Building 1,Block 1,Dorm 4,18.0,0.52,0.0,0.65,59.5611,-0.027,-0.162,0.003,-0.081,-0.161,-0.089,,,2
Building 1,Block 1,Dorm 5,18.0,0.52,0.0,0.65,59.5593,-0.027,-0.162,0.003,-0.081,-0.161,-0.089,,,2
Building 1,Block 1,Dorm 6,18.0,0.52,0.0,0.65,59.5611,-0.027,-0.162,0.003,-0.081,-0.161,-0.089,,,2
Building 1,Block 1,Dorm 7,18.0,0.52,0.0,0.65,59.6624,-0.027,-0.162,0.003,-0.081,-0.161,-0.089,,,2
Building 1,Block 1,Dorm 1,18.0,0.57,0.0,0.71,65.9198,-0.027,-0.212,0.003,-0.081,-0.161,-0.089,,,2
Building 1,Block 1,Corredor,10.87,0.0,0.0,0.0,0.0,0.0,1.215,0.097,-0.301,-0.411,-0.213,,,2
Building 1,Block 1,Dorm 9,18.0,1.31,0.0,1.64,151.7309,-0.028,-0.386,0.071,-0.825,-0.044,-0.1,,,3
Building 1,Block 1,Dorm 10,18.0,1.2,0.0,1.5,138.1927,-0.028,-0.272,0.067,-0.826,-0.044,-0.099,,,3
Building 1,Block 1,Dorm 11,18.0,1.2,0.0,1.5,138.0872,-0.028,-0.271,0.067,-0.826,-0.044,-0.099,,,3
Building 1,Block 1,Dorm 12,18.0,1.2,0.0,1.5,138.0863,-0.028,-0.271,0.067,-0.826,-0.044,-0.099,,,3
Building 1,Block 1,Dorm 13,18.0,1.2,0.0,1.5,138.0872,-0.028,-0.271,0.067,-0.826,-0.044,-0.099,,,3
Building 1,Block 1,Dorm 14,18.0,1.2,0.0,1.5,138.1928,-0.028,-0.272,0.067,-0.826,-0.044,-0.099,,,3
Building 1,Block 1,Dorm 8,18.0,1.31,0.0,1.64,151.7466,-0.028,-0.386,0.071,-0.825,-0.044,-0.1,,,3
Building 1,Block 1,Dorm 2,18.0,1.31,0.0,1.64,151.7309,-0.028,-0.386,0.071,-0.825,-0.044,-0.1,,,3
Building 1,Block 1,Dorm 3,18.0,1.2,0.0,1.5,138.1927,-0.028,-0.272,0.067,-0.826,-0.044,-0.099,,,3
Building 1,Block 1,Dorm 4,18.0,1.2,0.0,1.5,138.0872,-0.028,-0.271,0.067,-0.826,-0.044,-0.099,,,3
Building 1,Block 1,Dorm 5,18.0,1.2,0.0,1.5,138.0863,-0.028,-0.271,0.067,-0.826,-0.044,-0.099,,,3
Building 1,Block 1,Dorm 6,18.0,1.2,0.0,1.5,138.0872,-0.028,-0.271,0.067,-0.826,-0.044,-0.099,,,3
Building 1,Block 1,Dorm 7,18.0,1.2,0.0,1.5,138.1928,-0.028,-0.272,0.067,-0.826,-0.044,-0.099,,,3
Building 1,Block 1,Dorm 1,18.0,1.31,0.0,1.64,151.7466,-0.028,-0.386,0.071,-0.825,-0.044,-0.1,,,3
Building 1,Block 1,Corredor,8.51,0.0,0.0,0.0,0.0,0.0,1.648,1.307,-2.62,-0.083,-0.175,,,3
Building 1,Block 1,Dorm 9,18.0,0.41,0.0,0.52,48.1645,-0.027,-0.182,0.003,-0.081,-0.039,-0.088,,,4
Building 1,Block 1,Dorm 10,18.0,0.37,0.0,0.46,42.0757,-0.027,-0.132,0.003,-0.081,-0.039,-0.088,,,4
Building 1,Block 1,Dorm 11,18.0,0.36,0.0,0.46,41.9723,-0.027,-0.131,0.003,-0.081,-0.039,-0.088,,,4
Building 1,Block 1,Dorm 12,18.0,0.36,0.0,0.46,41.9704,-0.027,-0.131,0.003,-0.081,-0.039,-0.088,,,4
Building 1,Block 1,Dorm 13,18.0,0.36,0.0,0.46,41.9723,-0.027,-0.131,0.003,-0.081,-0.039,-0.088,,,4
Building 1,Block 1,Dorm 14,18.0,0.37,0.0,0.46,42.0757,-0.027,-0.132,0.003,-0.081,-0.039,-0.088,,,4
Building 1,Block 1,Dorm 8,18.0,0.41,0.0,0.52,48.1645,-0.027,-0.182,0.003,-0.081,-0.039,-0.088,,,4
Building 1,Block 1,Dorm 2,18.0,0.41,0.0,0.52,48.1751,-0.027,-0.182,0.003,-0.081,-0.039,-0.088,,,4
Building 1,Block 1,Dorm 3,18.0,0.37,0.0,0.46,42.0861,-0.027,-0.132,0.003,-0.081,-0.039,-0.088,,,4
Building 1,Block 1,Dorm 4,18.0,0.36,0.0,0.46,41.9827,-0.027,-0.131,0.003,-0.081,-0.039,-0.088,,,4
Building 1,Block 1,Dorm 5,18.0,0.36,0.0,0.46,41.9808,-0.027,-0.131,0.003,-0.081,-0.039,-0.088,,,4
Building 1,Block 1,Dorm 6,18.0,0.36,0.0,0.46,41.9827,-0.027,-0.131,0.003,-0.081,-0.039,-0.088,,,4
Building 1,Block 1,Dorm 7,18.0,0.37,0.0,0.46,42.0861,-0.027,-0.132,0.003,-0.081,-0.039,-0.088,,,4
Building 1,Block 1,Dorm 1,18.0,0.41,0.0,0.52,48.1751,-0.027,-0.182,0.003,-0.081,-0.039,-0.088,,,4
Building 1,Block 1,Corredor,12.93,0.0,0.0,0.0,0.0,0.0,0.767,0.071,-0.325,-0.126,-0.268,,,4
Building 1,Block 1,Dorm 9,18.0,0.55,0.0,0.68,63.4761,0.0,-0.219,0.003,-0.081,-0.161,-0.088,,,5
Building 1,Block 1,Dorm 10,18.0,0.5,0.0,0.62,57.2364,0.0,-0.169,0.003,-0.081,-0.161,-0.088,,,5
Building 1,Block 1,Dorm 11,18.0,0.5,0.0,0.62,57.133,0.0,-0.169,0.003,-0.081,-0.16,-0.088,,,5
Building 1,Block 1,Dorm 12,18.0,0.5,0.0,0.62,57.1311,0.0,-0.169,0.003,-0.081,-0.16,-0.088,,,5
Building 1,Block 1,Dorm 13,18.0,0.5,0.0,0.62,57.133,0.0,-0.169,0.003,-0.081,-0.16,-0.088,,,5
Building 1,Block 1,Dorm 14,18.0,0.5,0.0,0.62,57.2366,0.0,-0.169,0.003,-0.081,-0.161,-0.088,,,5
Building 1,Block 1,Dorm 8,18.0,0.55,0.0,0.68,63.488,0.0,-0.219,0.003,-0.081,-0.161,-0.088,,,5
Building 1,Block 1,Dorm 2,18.0,0.55,0.0,0.68,63.4761,0.0,-0.219,0.003,-0.081,-0.161,-0.088,,,5
Building 1,Block 1,Dorm 3,18.0,0.5,0.0,0.62,57.2364,0.0,-0.169,0.003,-0.081,-0.161,-0.088,,,5
Building 1,Block 1,Dorm 4,18.0,0.5,0.0,0.62,57.133,0.0,-0.169,0.003,-0.081,-0.16,-0.088,,,5
Building 1,Block 1,Dorm 5,18.0,0.5,0.0,0.62,57.1311,0.0,-0.169,0.003,-0.081,-0.16,-0.088,,,5
Building 1,Block 1,Dorm 6,18.0,0.5,0.0,0.62,57.133,0.0,-0.169,0.003,-0.081,-0.16,-0.088,,,5
Building 1,Block 1,Dorm 7,18.0,0.5,0.0,0.62,57.2366,0.0,-0.169,0.003,-0.081,-0.161,-0.088,,,5
Building 1,Block 1,Dorm 1,18.0,0.55,0.0,0.68,63.488,0.0,-0.219,0.003,-0.081,-0.161,-0.088,,,5
Building 1,Block 1,Corredor,10.89,0.0,0.0,0.0,0.0,0.0,1.217,0.097,-0.302,-0.412,-0.213,,,5
Building 1,Block 1,Dorm 9,18.0,1.3,0.0,1.62,150.2974,0.0,-0.401,0.071,-0.825,-0.044,-0.099,,,6
Building 1,Block 1,Dorm 10,18.0,1.19,0.0,1.49,136.7707,0.0,-0.287,0.066,-0.826,-0.044,-0.099,,,6
Building 1,Block 1,Dorm 11,18.0,1.19,0.0,1.49,136.665,0.0,-0.286,0.066,-0.826,-0.044,-0.099,,,6
Building 1,Block 1,Dorm 12,18.0,1.19,0.0,1.49,136.6641,0.0,-0.286,0.066,-0.826,-0.044,-0.099,,,6
Building 1,Block 1,Dorm 13,18.0,1.19,0.0,1.49,136.665,0.0,-0.286,0.066,-0.826,-0.044,-0.099,,,6
Building 1,Block 1,Dorm 14,18.0,1.19,0.0,1.49,136.7708,0.0,-0.287,0.066,-0.826,-0.044,-0.099,,,6
Building 1,Block 1,Dorm 8,18.0,1.3,0.0,1.62,150.3131,0.0,-0.401,0.071,-0.825,-0.044,-0.099,,,6
Building 1,Block 1,Dorm 2,18.0,1.3,0.0,1.62,150.2974,0.0,-0.401,0.071,-0.825,-0.044,-0.099,,,6
Building 1,Block 1,Dorm 3,18.0,1.19,0.0,1.49,136.7707,0.0,-0.287,0.066,-0.826,-0.044,-0.099,,,6
Building 1,Block 1,Dorm 4,18.0,1.19,0.0,1.49,136.665,0.0,-0.286,0.066,-0.826,-0.044,-0.099,,,6
Building 1,Block 1,Dorm 5,18.0,1.19,0.0,1.49,136.6641,0.0,-0.286,0.066,-0.826,-0.044,-0.099,,,6
Building 1,Block 1,Dorm 6,18.0,1.19,0.0,1.49,136.665,0.0,-0.286,0.066,-0.826,-0.044,-0.099,,,6
Building 1,Block 1,Dorm 7,18.0,1.19,0.0,1.49,136.7708,0.0,-0.287,0.066,-0.826,-0.044,-0.099,,,6
Building 1,Block 1,Dorm 1,18.0,1.3,0.0,1.62,150.3131,0.0,-0.401,0.071,-0.825,-0.044,-0.099,,,6
Building 1,Block 1,Corredor,8.52,0.0,0.0,0.0,0.0,0.0,1.649,1.306,-2.62,-0.083,-0.175,,,6
Building 1,Block 1,Dorm 9,18.0,0.66,0.0,0.82,76.3211,-0.027,-0.333,0.036,-0.081,-0.164,-0.09,,,7
Building 1,Block 1,Dorm 10,18.0,0.55,0.0,0.69,63.1365,-0.028,-0.218,0.029,-0.081,-0.162,-0.089,,,7
Building 1,Block 1,Dorm 11,18.0,0.55,0.0,0.68,62.952,-0.028,-0.217,0.029,-0.081,-0.162,-0.089,,,7
Building 1,Block 1,Dorm 12,18.0,0.55,0.0,0.68,62.949,-0.028,-0.217,0.029,-0.081,-0.162,-0.089,,,7
Building 1,Block 1,Dorm 13,18.0,0.55,0.0,0.68,62.952,-0.028,-0.217,0.029,-0.081,-0.162,-0.089,,,7
Building 1,Block 1,Dorm 14,18.0,0.55,0.0,0.69,63.1367,-0.028,-0.218,0.029,-0.081,-0.162,-0.089,,,7
Building 1,Block 1,Dorm 8,18.0,0.66,0.0,0.82,76.336,-0.027,-0.333,0.036,-0.081,-0.164,-0.09,,,7
Building 1,Block 1,Dorm 2,18.0,0.66,0.0,0.82,76.3211,-0.027,-0.333,0.036,-0.081,-0.164,-0.09,,,7
Building 1,Block 1,Dorm 3,18.0,0.55,0.0,0.69,63.1365,-0.028,-0.218,0.029,-0.081,-0.162,-0.089,,,7
Building 1,Block 1,Dorm 4,18.0,0.55,0.0,0.68,62.952,-0.028,-0.217,0.029,-0.081,-0.162,-0.089,,,7
Building 1,Block 1,Dorm 5,18.0,0.55,0.0,0.68,62.949,-0.028,-0.217,0.029,-0.081,-0.162,-0.089,,,7
Building 1,Block 1,Dorm 6,18.0,0.55,0.0,0.68,62.952,-0.028,-0.217,0.029,-0.081,-0.162,-0.089,,,7
Building 1,Block 1,Dorm 7,18.0,0.55,0.0,0.69,63.1367,-0.028,-0.218,0.029,-0.081,-0.162,-0.089,,,7
Building 1,Block 1,Dorm 1,18.0,0.66,0.0,0.82,76.336,-0.027,-0.333,0.036,-0.081,-0.164,-0.09,,,7
Building 1,Block 1,Corredor,12.41,0.0,0.0,0.0,0.0,0.0,0.765,0.718,-0.323,-0.472,-0.244,,,7
