Etiquetas de fila;Suma de Total;;;
1;402.2064;;;
1;13.5252;;1;12.9744
2;10.584;;2;12.29502857
3;14.7888;;3;11.63717419
4;12.8916;;4;7.9836
5;12.996;;5;7.734541935
6;13.2372;;6;6.12936
7;10.8468;;7;6.073664516
8;13.446;;8;6.410206452
9;11.3292;;9;10.32024
10;15.1848;;10;11.04421935
11;12.8088;;11;12.54408
12;13.536;;12;10.74588387
13;12.186;;;
14;13.8168;;;
15;14.0724;;;
16;12.8916;;;
17;13.8312;;;
18;10.4904;;;
19;10.1988;;;
20;12.6108;;;
21;13.0356;;;
22;11.4768;;;
23;14.3172;;;
24;12.4812;;;
25;12.9924;;;
26;15.048;;;
27;15.408;;;
28;12.816;;;
29;14.1552;;;
30;11.4228;;;
31;13.7808;;;
2;344.2608;;;
1;11.0088;;;
2;12.5676;;;
3;11.844;;;
4;11.3904;;;
5;12.4488;;;
6;12.4956;;;
7;11.8728;;;
8;12.3768;;;
9;12.1068;;;
10;15.8688;;;
11;13.752;;;
12;12.3768;;;
13;12.5208;;;
14;15.8616;;;
15;11.034;;;
16;10.3752;;;
17;13.4964;;;
18;13.1148;;;
19;13.464;;;
20;13.8528;;;
21;13.3992;;;
22;10.692;;;
23;8.2836;;;
24;10.8036;;;
25;10.8036;;;
26;11.2824;;;
27;15.6924;;;
28;9.4752;;;
3;360.7524;;;
1;10.8612;;;
2;12.0744;;;
3;12.5424;;;
4;11.466;;;
5;11.7;;;
6;11.8512;;;
7;12.7872;;;
8;13.2012;;;
9;13.7772;;;
10;10.008;;;
11;12.0456;;;
12;14.1984;;;
13;12.348;;;
14;13.4532;;;
15;10.6596;;;
16;9.7056;;;
17;8.8452;;;
18;12.168;;;
19;10.0908;;;
20;9.8712;;;
21;12.33;;;
22;11.61;;;
23;9.5076;;;
24;12.5712;;;
25;11.7432;;;
26;11.9016;;;
27;10.8108;;;
28;10.476;;;
29;12.0168;;;
30;12.4164;;;
31;11.7144;;;
4;239.508;;;
1;7.4952;;;
2;9.2808;;;
3;9.8892;;;
4;9.6336;;;
5;11.4264;;;
6;10.8504;;;
7;8.1144;;;
8;10.368;;;
9;8.3772;;;
10;9.0684;;;
11;11.4264;;;
12;8.4096;;;
13;11.2932;;;
14;9.6696;;;
15;5.3856;;;
16;5.4252;;;
17;7.9128;;;
18;9.4572;;;
19;8.0892;;;
20;3.3192;;;
21;9.2088;;;
22;3.834;;;
23;4.3668;;;
24;2.7252;;;
25;6.318;;;
26;7.2036;;;
27;8.2512;;;
28;5.292;;;
29;7.9272;;;
30;9.4896;;;
5;239.7708;;;
1;11.5272;;;
2;11.7612;;;
3;10.2744;;;
4;7.8912;;;
5;4.3272;;;
6;7.3872;;;
7;5.5512;;;
8;4.3956;;;
9;8.3088;;;
10;9.468;;;
11;11.3976;;;
12;9.5832;;;
13;10.0692;;;
14;10.0332;;;
15;5.0076;;;
16;10.5876;;;
17;10.8504;;;
18;9.3888;;;
19;8.3268;;;
20;10.2276;;;
21;8.352;;;
22;7.1316;;;
23;10.1952;;;
24;5.9076;;;
25;2.1888;;;
26;2.6064;;;
27;3.5424;;;
28;2.7324;;;
29;7.0704;;;
30;7.146;;;
31;6.534;;;
6;183.8808;;;
1;7.722;;;
2;8.5788;;;
3;7.9488;;;
4;7.272;;;
5;8.8632;;;
6;7.5708;;;
7;5.4936;;;
8;8.6868;;;
9;7.0128;;;
10;5.6628;;;
11;8.1936;;;
12;9.162;;;
13;2.5236;;;
14;2.4228;;;
15;5.7096;;;
16;7.3008;;;
17;2.2104;;;
18;2.286;;;
19;2.25;;;
20;4.7988;;;
21;7.0776;;;
22;8.0172;;;
23;6.3324;;;
24;2.2572;;;
25;9.0972;;;
26;7.056;;;
27;8.6616;;;
28;3.2472;;;
29;6.912;;;
30;3.5532;;;
7;188.2836;;;
1;7.8156;;;
2;7.7976;;;
3;9.2988;;;
4;9.2844;;;
5;7.7832;;;
6;6.6888;;;
7;10.5408;;;
8;2.8728;;;
9;4.6476;;;
10;2.556;;;
11;2.376;;;
12;5.0508;;;
13;9.6732;;;
14;4.6764;;;
15;6.3576;;;
16;3.7116;;;
17;6.1092;;;
18;8.1108;;;
19;2.124;;;
20;2.0376;;;
21;1.9116;;;
22;1.9404;;;
23;7.9632;;;
24;8.8848;;;
25;8.154;;;
26;6.642;;;
27;10.2384;;;
28;6.6816;;;
29;8.0928;;;
30;6.2136;;;
31;2.0484;;;
8;198.7164;;;
1;2.016;;;
2;1.9332;;;
3;2.0376;;;
4;2.196;;;
5;5.4;;;
6;5.7816;;;
7;10.7136;;;
8;9.486;;;
9;2.2212;;;
10;2.1996;;;
11;2.214;;;
12;2.3184;;;
13;4.2696;;;
14;8.4024;;;
15;9.8964;;;
16;12.2796;;;
17;10.7928;;;
18;6.2892;;;
19;11.7144;;;
20;9.4428;;;
21;10.4904;;;
22;12.294;;;
23;4.0968;;;
24;8.6904;;;
25;7.0632;;;
26;5.544;;;
27;7.4376;;;
28;6.2136;;;
29;3.8664;;;
30;2.2572;;;
31;9.1584;;;
9;309.6072;;;
1;8.1648;;;
2;10.6524;;;
3;10.4616;;;
4;7.6968;;;
5;8.244;;;
6;10.8396;;;
7;10.3392;;;
8;11.466;;;
9;8.1936;;;
10;10.2672;;;
11;12.15;;;
12;10.2924;;;
13;5.4756;;;
14;12.3084;;;
15;12.5388;;;
16;10.0188;;;
17;12.0888;;;
18;9.9684;;;
19;9.6588;;;
20;12.4596;;;
21;9.1116;;;
22;11.0556;;;
23;9.4032;;;
24;12.1032;;;
25;8.118;;;
26;12.4056;;;
27;10.9548;;;
28;13.0608;;;
29;9.3636;;;
30;10.746;;;
10;342.3708;;;
1;11.4408;;;
2;11.9592;;;
3;14.2488;;;
4;11.3544;;;
5;9.27;;;
6;10.9548;;;
7;10.2276;;;
8;7.2036;;;
9;9.018;;;
10;11.3544;;;
11;12.024;;;
12;10.7352;;;
13;12.3552;;;
14;12.6072;;;
15;10.9332;;;
16;8.8632;;;
17;9.4176;;;
18;10.3968;;;
19;11.6496;;;
20;7.5816;;;
21;13.0464;;;
22;10.89;;;
23;9.6336;;;
24;9.6012;;;
25;12.8772;;;
26;9.6876;;;
27;10.6596;;;
28;12.6684;;;
29;12.8772;;;
30;14.3748;;;
31;12.4596;;;
11;376.3224;;;
1;12.834;;;
2;9.6228;;;
3;10.2996;;;
4;9.2484;;;
5;11.6136;;;
6;12.7188;;;
7;12.8988;;;
8;10.6416;;;
9;13.0284;;;
10;14.2308;;;
11;10.8828;;;
12;12.9888;;;
13;11.1276;;;
14;15.4188;;;
15;15.0912;;;
16;14.5548;;;
17;15.1524;;;
18;16.0956;;;
19;10.5588;;;
20;13.0284;;;
21;11.6424;;;
22;11.4732;;;
23;10.6308;;;
24;12.8988;;;
25;14.7132;;;
26;12.5928;;;
27;10.9764;;;
28;13.5252;;;
29;12.0636;;;
30;13.77;;;
12;333.1224;;;
1;11.8152;;;
2;12.9996;;;
3;13.4064;;;
4;9.9396;;;
5;11.8188;;;
6;10.4256;;;
7;11.8332;;;
8;10.4544;;;
9;10.2276;;;
10;10.2996;;;
11;10.3176;;;
12;11.7648;;;
13;12.0348;;;
14;10.89;;;
15;10.6092;;;
16;11.8692;;;
17;11.3364;;;
18;6.6204;;;
19;9.72;;;
20;13.4244;;;
21;3.8664;;;
22;9.306;;;
23;9.4464;;;
24;12.8412;;;
25;12.3624;;;
26;12.5712;;;
27;14.436;;;
28;11.6748;;;
29;10.44;;;
30;8.4816;;;
31;5.8896;;;
Total general;3518.802;;;
